transaction_id,transaction_date,store_id,sku,quantity,unit_price,total_amount,customer_id,payment_method
TXN00010332,2026-04-02,ST004,SKU01167,1,834.95,834.95,CUST16681,EFTPOS
TXN00010447,2026-04-02,ST013,SKU01148,1,339.95,339.95,,Card
TXN00010394,2026-04-02,ST008,SKU01172,2,129.95,259.9,CUST18987,Card
TXN00010303,2026-04-02,ST007,SKU01092,1,54.95,54.95,CUST19147,Finance
TXN00010271,2026-04-02,ST014,SKU01205,1,324.95,324.95,CUST11143,AfterPay
TXN00010554,2026-04-02,ST007,SKU01249,1,1129.95,1129.95,CUST10135,EFTPOS
TXN00010285,2026-04-02,ST001,SKU01084,1,444.95,444.95,CUST16836,Finance
TXN00010335,2026-04-02,ST001,SKU01119,1,2184.95,2184.95,CUST10225,EFTPOS
TXN00010425,2026-04-02,ST011,SKU01136,1,579.95,579.95,,EFTPOS
TXN00010294,2026-04-02,ST009,SKU01191,1,519.95,519.95,CUST13590,Online
TXN00010210,2026-04-02,ST009,SKU01237,1,669.95,669.95,CUST17239,EFTPOS
TXN00010005,2026-04-02,ST011, SKU01227 ,1,479.95,479.95,CUST12044,Online
TXN00010243,2026-04-02,ST012,SKU01211,1,434.95,434.95,,AfterPay
TXN00010030,2026-04-02,ST005,SKU01154,1,1424.95,1424.95,CUST13618,EFTPOS
TXN00010129,2026-04-02,ST011, SKU01226 ,1,129.95,129.95,CUST15453,Finance
TXN00010295,02/04/2026,ST012,SKU01025,1,1739.95,1739.95,CUST16535,Card
TXN00010446,2026-04-02,ST009,SKU01207,1,69.95,69.95,,AfterPay
TXN00010291,2026-04-02,ST014,SKU01242,1,2454.95,2454.95,CUST12449,Finance
TXN00010435,2026-04-02,ST006,SKU01243,3,654.95,1964.85,CUST19315,Finance
TXN00010592,2026-04-02,ST003, SKU01041 ,1,1034.95,1034.95,,Card
TXN00010280,2026-04-02,ST001,SKU01060,1,1284.95,1284.95,CUST14363,Card
TXN00010009,2026-04-02,ST004, SKU99001 ,1,237.57,237.57,CUST15228,Card
TXN00010083,2026-04-02,ST003,SKU01145,1,334.95,334.95,CUST19026,Card
TXN00010330,2026-04-02,ST010,SKU01077,1,114.95,114.95,CUST17886,Online
TXN00010351,2026-04-02,ST012,SKU01212,1,724.95,724.95,CUST13688,EFTPOS
TXN00010195,2026-04-02,ST007,SKU01084,1,444.95,444.95,CUST11734,Finance
TXN00010231,2026-04-02,ST013,SKU01172,2,129.95,259.9,,EFTPOS
TXN00010245,02/04/2026,ST006,SKU01053,1,369.95,369.95,CUST18194,Card
TXN00010258,2026-04-02,ST004,SKU01202,1,224.95,224.95,CUST15613,AfterPay
TXN00010122,02/04/2026,ST009,SKU01030,1,414.95,414.95,CUST18655,Card
TXN00010061,2026-04-02,ST002,SKU01102,3,369.95,1109.85,CUST11591,Card
TXN00010130,2026-04-02,ST012,SKU01206,1,269.95,269.95,,AfterPay
TXN00010514,2026-04-02,ST007,SKU01128,1,459.95,459.95,,Online
TXN00010203,2026-04-02,ST004,SKU01023,1,4599.95,4599.95,,EFTPOS
TXN00010459,2026-04-02,ST013,SKU01195,1,594.95,594.95,,Card
TXN00010225,2026-04-02,ST008,SKU01121,1,624.95,624.95,CUST11702,Finance
TXN00010485,2026-04-02,ST006,SKU01117,1,344.95,344.95,CUST15302,EFTPOS
TXN00010207,2026-04-02,ST001,SKU01047,1,1539.95,1539.95,CUST10991,Online
TXN00010391,2026-04-02,ST001,SKU01201,1,179.95,179.95,CUST16755,EFTPOS
TXN00010551,2026-04-02,ST006,SKU01096,1,74.95,74.95,,Card
TXN00010517,2026-04-02,ST011,SKU01205,2,324.95,649.9,,Card
TXN00010569,2026-04-02,ST006,SKU01178,1,219.95,219.95,CUST13387,EFTPOS
TXN00010306,2026-04-02,ST014,SKU01197,1,734.95,734.95,,AfterPay
TXN00010460,2026-04-02,ST009,SKU01054,1,454.95,454.95,,Card
TXN00010047,2026-04-02,ST014,SKU01115,1,1234.95,1234.95,CUST15857,Card
TXN00010464,2026-04-02,ST014,SKU01090,1,229.95,229.95,CUST16029,Finance
TXN00010045,2026-04-02,ST001,SKU01190,1,639.95,639.95,CUST19703,Finance
TXN00010108,2026-04-02,ST005,SKU01010,1,1394.95,1394.95,CUST17524,Finance
TXN00010338,2026-04-02,ST004,sku01063,2,169.95,339.9,CUST14857,Online
TXN00010587,2026-04-02,ST011,SKU01022,1,4399.95,4399.95,CUST12581,EFTPOS
TXN00010268,2026-04-02,ST010,SKU01230,1,59.95,59.95,,Online
TXN00010474,2026-04-02,ST009,SKU01012,3,3249.95,9749.85,CUST10191,EFTPOS
TXN00010279,2026-04-02,ST009,SKU01184,3,249.95,749.85,CUST12433,AfterPay
TXN00010242,2026-04-02,ST009, sku01212 ,2,724.95,1449.9,CUST19033,Online
TXN00010246,2026-04-02,ST012, SKU01212 ,1,724.95,724.95,,AfterPay
TXN00010346,02/04/2026,ST011,SKU01128,3,459.95,1379.85,CUST11181,EFTPOS
TXN00010348,2026-04-02,ST007,SKU01134,2,534.95,1069.9,CUST17967,EFTPOS
TXN00010251,2026-04-02,ST001,SKU01060,1,1284.95,1284.95,CUST10824,Finance
TXN00010174,02/04/2026,ST006,SKU01074,2,129.95,259.9,CUST15196,AfterPay
TXN00010138,2026-04-02,ST002,SKU01048,1,669.95,669.95,,Online
TXN00010372,2026-04-02,ST014,SKU01233,1,1319.95,1319.95,CUST17858,Online
TXN00010520,2026-04-02,ST007,SKU01093,1,139.95,139.95,CUST17512,Online
TXN00010317,2026-04-02,ST009,SKU01196,1,834.95,834.95,CUST13946,EFTPOS
TXN00010178,2026-04-02,ST002,SKU01237,1,669.95,669.95,CUST14610,Card
TXN00010276,2026-04-02,ST010,SKU01046,1,674.95,674.95,CUST17317,AfterPay
TXN00010411,2026-04-02,ST003,SKU01165,1,524.95,524.95,,Online
TXN00010098,2026-04-02,ST004,SKU01072,1,424.95,424.95,,AfterPay
TXN00010504,2026-04-02,ST003,SKU01056,-1,794.95,-794.95,CUST13163,Finance
TXN00010410,2026-04-02,ST003,SKU01038,1,389.95,389.95,,EFTPOS
TXN00010461,2026-04-02,ST001,SKU01107,1,1424.95,1424.95,,EFTPOS
TXN00010537,2026-04-02,ST006, SKU01049 ,1,1724.95,1724.95,CUST14971,Finance
TXN00010503,2026-04-02,ST011,SKU01112,3,544.95,1634.85,CUST15657,Card
TXN00010413,2026-04-02,ST014,SKU01218,2,349.95,699.9,CUST13756,Online
TXN00010155,2026-04-02,ST014,SKU01234,3,1784.95,5354.85,CUST17742,Finance
TXN00010053,2026-04-02,ST011,SKU01148,1,339.95,339.95,CUST18300,Finance
TXN00010267,2026-04-02,ST013,SKU01076,1,459.95,459.95,,AfterPay
TXN00010528,2026-04-02,ST001,SKU01180,1,164.95,164.95,CUST10190,AfterPay
TXN00010439,02/04/2026,ST005,SKU01222,1,514.95,514.95,,Online
TXN00010388,2026-04-02,ST001,SKU01222,1,514.95,514.95,CUST15466,EFTPOS
TXN00010042,2026-04-02,ST004,SKU01134,-1,534.95,-534.95,,AfterPay
TXN00010490,2026-04-02,ST001,SKU01077,1,114.95,114.95,,Card
TXN00010214,2026-04-02,ST009,SKU01236,1,2409.95,2409.95,CUST12576,EFTPOS
TXN00010049,2026-04-02,ST009,SKU01160,1,144.95,144.95,CUST14447,EFTPOS
TXN00010500,2026-04-02,ST007, SKU01037 ,1,664.95,664.95,CUST12233,Card
TXN00010037,02/04/2026,ST010,SKU01233,1,1319.95,1319.95,CUST19678,Finance
TXN00010128,2026-04-02,ST002,SKU01233,1,1319.95,1319.95,CUST18874,Finance
TXN00010097,2026-04-02,ST006,SKU01053,1,369.95,369.95,CUST19103,Finance
TXN00010384,2026-04-02,ST012,SKU01244,1,2859.95,2859.95,,Card
TXN00010350,2026-04-02,ST002,SKU01164,2,254.95,509.9,,Card
TXN00010370,2026-04-02,ST008,SKU01114,1,2214.95,2214.95,CUST10568,Online
