movement_id,movement_date,sku,warehouse_id,movement_type,quantity,reference_id,notes
MOV00000001,2026-04-01,SKU01001,WH001,receipt,141,PO_INIT_WH001,Initial stock-up
MOV00000002,2026-04-01,SKU01001,WH002,receipt,138,PO_INIT_WH002,Initial stock-up
MOV00000003,2026-04-01,SKU01001,WH003,receipt,50,PO_INIT_WH003,Initial stock-up
MOV00000004,2026-04-01,SKU01001,WH004,receipt,175,PO_INIT_WH004,Initial stock-up
MOV00000005,2026-04-01,SKU01002,WH001,receipt,138,PO_INIT_WH001,Initial stock-up
MOV00000006,2026-04-01,SKU01002,WH002,receipt,185,PO_INIT_WH002,Initial stock-up
MOV00000007,2026-04-01,SKU01002,WH003,receipt,158,PO_INIT_WH003,Initial stock-up
MOV00000008,2026-04-01,SKU01002,WH004,receipt,196,PO_INIT_WH004,Initial stock-up
MOV00000009,2026-04-01,SKU01003,WH001,receipt,198,PO_INIT_WH001,Initial stock-up
MOV00000010,2026-04-01,SKU01003,WH002,receipt,92,PO_INIT_WH002,Initial stock-up
MOV00000011,2026-04-01,SKU01003,WH003,receipt,91,PO_INIT_WH003,Initial stock-up
MOV00000012,2026-04-01,SKU01003,WH004,receipt,81,PO_INIT_WH004,Initial stock-up
MOV00000013,2026-04-01,SKU01004,WH001,receipt,159,PO_INIT_WH001,Initial stock-up
MOV00000014,2026-04-01,SKU01004,WH002,receipt,134,PO_INIT_WH002,Initial stock-up
MOV00000015,2026-04-01,SKU01004,WH003,receipt,144,PO_INIT_WH003,Initial stock-up
MOV00000016,2026-04-01,SKU01004,WH004,receipt,196,PO_INIT_WH004,Initial stock-up
MOV00000017,2026-04-01,SKU01005,WH001,receipt,85,PO_INIT_WH001,Initial stock-up
MOV00000018,2026-04-01,SKU01005,WH002,receipt,113,PO_INIT_WH002,Initial stock-up
MOV00000019,2026-04-01,SKU01005,WH003,receipt,74,PO_INIT_WH003,Initial stock-up
MOV00000020,2026-04-01,SKU01005,WH004,receipt,178,PO_INIT_WH004,Initial stock-up
MOV00000021,2026-04-01,SKU01006,WH001,receipt,181,PO_INIT_WH001,Initial stock-up
MOV00000022,2026-04-01,SKU01006,WH002,receipt,62,PO_INIT_WH002,Initial stock-up
MOV00000023,2026-04-01,SKU01006,WH003,receipt,66,PO_INIT_WH003,Initial stock-up
MOV00000024,2026-04-01,SKU01006,WH004,receipt,125,PO_INIT_WH004,Initial stock-up
MOV00000025,2026-04-01,SKU01007,WH001,receipt,124,PO_INIT_WH001,Initial stock-up
MOV00000026,2026-04-01,SKU01007,WH002,receipt,192,PO_INIT_WH002,Initial stock-up
MOV00000027,2026-04-01,SKU01007,WH003,receipt,68,PO_INIT_WH003,Initial stock-up
MOV00000028,2026-04-01,SKU01007,WH004,receipt,180,PO_INIT_WH004,Initial stock-up
MOV00000029,2026-04-01,SKU01008,WH001,receipt,120,PO_INIT_WH001,Initial stock-up
MOV00000030,2026-04-01,SKU01008,WH002,receipt,197,PO_INIT_WH002,Initial stock-up
MOV00000031,2026-04-01,SKU01008,WH003,receipt,139,PO_INIT_WH003,Initial stock-up
MOV00000032,2026-04-01,SKU01008,WH004,receipt,54,PO_INIT_WH004,Initial stock-up
MOV00000033,2026-04-01,SKU01009,WH001,receipt,66,PO_INIT_WH001,Initial stock-up
MOV00000034,2026-04-01,SKU01009,WH002,receipt,72,PO_INIT_WH002,Initial stock-up
MOV00000035,2026-04-01,SKU01009,WH003,receipt,102,PO_INIT_WH003,Initial stock-up
MOV00000036,2026-04-01,SKU01009,WH004,receipt,146,PO_INIT_WH004,Initial stock-up
MOV00000037,2026-04-01,SKU01010,WH001,receipt,127,PO_INIT_WH001,Initial stock-up
MOV00000038,2026-04-01,SKU01010,WH002,receipt,58,PO_INIT_WH002,Initial stock-up
MOV00000039,2026-04-01,SKU01010,WH003,receipt,200,PO_INIT_WH003,Initial stock-up
MOV00000040,2026-04-01,SKU01010,WH004,receipt,94,PO_INIT_WH004,Initial stock-up
MOV00000041,2026-04-01,SKU01011,WH001,receipt,62,PO_INIT_WH001,Initial stock-up
MOV00000042,2026-04-01,SKU01011,WH002,receipt,173,PO_INIT_WH002,Initial stock-up
MOV00000043,2026-04-01,SKU01011,WH003,receipt,163,PO_INIT_WH003,Initial stock-up
MOV00000044,2026-04-01,SKU01011,WH004,receipt,63,PO_INIT_WH004,Initial stock-up
MOV00000045,2026-04-01,SKU01012,WH001,receipt,119,PO_INIT_WH001,Initial stock-up
MOV00000046,2026-04-01,SKU01012,WH002,receipt,100,PO_INIT_WH002,Initial stock-up
MOV00000047,2026-04-01,SKU01012,WH003,receipt,151,PO_INIT_WH003,Initial stock-up
MOV00000048,2026-04-01,SKU01012,WH004,receipt,110,PO_INIT_WH004,Initial stock-up
MOV00000049,2026-04-01,SKU01013,WH001,receipt,154,PO_INIT_WH001,Initial stock-up
MOV00000050,2026-04-01,SKU01013,WH002,receipt,98,PO_INIT_WH002,Initial stock-up
MOV00000051,2026-04-01,SKU01013,WH003,receipt,121,PO_INIT_WH003,Initial stock-up
MOV00000052,2026-04-01,SKU01013,WH004,receipt,86,PO_INIT_WH004,Initial stock-up
MOV00000053,2026-04-01,SKU01014,WH001,receipt,183,PO_INIT_WH001,Initial stock-up
MOV00000054,2026-04-01,SKU01014,WH002,receipt,133,PO_INIT_WH002,Initial stock-up
MOV00000055,2026-04-01,SKU01014,WH003,receipt,166,PO_INIT_WH003,Initial stock-up
MOV00000056,2026-04-01,SKU01014,WH004,receipt,159,PO_INIT_WH004,Initial stock-up
MOV00000057,2026-04-01,SKU01015,WH001,receipt,111,PO_INIT_WH001,Initial stock-up
MOV00000058,2026-04-01,SKU01015,WH002,receipt,144,PO_INIT_WH002,Initial stock-up
MOV00000059,2026-04-01,SKU01015,WH003,receipt,200,PO_INIT_WH003,Initial stock-up
MOV00000060,2026-04-01,SKU01015,WH004,receipt,152,PO_INIT_WH004,Initial stock-up
MOV00000061,2026-04-01,SKU01016,WH001,receipt,88,PO_INIT_WH001,Initial stock-up
MOV00000062,2026-04-01,SKU01016,WH002,receipt,72,PO_INIT_WH002,Initial stock-up
MOV00000063,2026-04-01,SKU01016,WH003,receipt,56,PO_INIT_WH003,Initial stock-up
MOV00000064,2026-04-01,SKU01016,WH004,receipt,118,PO_INIT_WH004,Initial stock-up
MOV00000065,2026-04-01,SKU01017,WH001,receipt,160,PO_INIT_WH001,Initial stock-up
MOV00000066,2026-04-01,SKU01017,WH002,receipt,103,PO_INIT_WH002,Initial stock-up
MOV00000067,2026-04-01,SKU01017,WH003,receipt,63,PO_INIT_WH003,Initial stock-up
MOV00000068,2026-04-01,SKU01017,WH004,receipt,116,PO_INIT_WH004,Initial stock-up
MOV00000069,2026-04-01,SKU01018,WH001,receipt,194,PO_INIT_WH001,Initial stock-up
MOV00000070,2026-04-01,SKU01018,WH002,receipt,145,PO_INIT_WH002,Initial stock-up
MOV00000071,2026-04-01,SKU01018,WH003,receipt,80,PO_INIT_WH003,Initial stock-up
MOV00000072,2026-04-01,SKU01018,WH004,receipt,180,PO_INIT_WH004,Initial stock-up
MOV00000073,2026-04-01,SKU01019,WH001,receipt,67,PO_INIT_WH001,Initial stock-up
MOV00000074,2026-04-01,SKU01019,WH002,receipt,145,PO_INIT_WH002,Initial stock-up
MOV00000075,2026-04-01,SKU01019,WH003,receipt,57,PO_INIT_WH003,Initial stock-up
MOV00000076,2026-04-01,SKU01019,WH004,receipt,95,PO_INIT_WH004,Initial stock-up
MOV00000077,2026-04-01,SKU01020,WH001,receipt,99,PO_INIT_WH001,Initial stock-up
MOV00000078,2026-04-01,SKU01020,WH002,receipt,140,PO_INIT_WH002,Initial stock-up
MOV00000079,2026-04-01,SKU01020,WH003,receipt,182,PO_INIT_WH003,Initial stock-up
MOV00000080,2026-04-01,SKU01020,WH004,receipt,93,PO_INIT_WH004,Initial stock-up
MOV00000081,2026-04-01,SKU01021,WH001,receipt,191,PO_INIT_WH001,Initial stock-up
MOV00000082,2026-04-01,SKU01021,WH002,receipt,142,PO_INIT_WH002,Initial stock-up
MOV00000083,2026-04-01,SKU01021,WH003,receipt,197,PO_INIT_WH003,Initial stock-up
MOV00000084,2026-04-01,SKU01021,WH004,receipt,152,PO_INIT_WH004,Initial stock-up
MOV00000085,2026-04-01,SKU01022,WH001,receipt,72,PO_INIT_WH001,Initial stock-up
MOV00000086,2026-04-01,SKU01022,WH002,receipt,172,PO_INIT_WH002,Initial stock-up
MOV00000087,2026-04-01,SKU01022,WH003,receipt,176,PO_INIT_WH003,Initial stock-up
MOV00000088,2026-04-01,SKU01022,WH004,receipt,181,PO_INIT_WH004,Initial stock-up
MOV00000089,2026-04-01,SKU01023,WH001,receipt,147,PO_INIT_WH001,Initial stock-up
MOV00000090,2026-04-01,SKU01023,WH002,receipt,54,PO_INIT_WH002,Initial stock-up
MOV00000091,2026-04-01,SKU01023,WH003,receipt,124,PO_INIT_WH003,Initial stock-up
MOV00000092,2026-04-01,SKU01023,WH004,receipt,99,PO_INIT_WH004,Initial stock-up
MOV00000093,2026-04-01,SKU01024,WH001,receipt,97,PO_INIT_WH001,Initial stock-up
MOV00000094,2026-04-01,SKU01024,WH002,receipt,163,PO_INIT_WH002,Initial stock-up
MOV00000095,2026-04-01,SKU01024,WH003,receipt,51,PO_INIT_WH003,Initial stock-up
MOV00000096,2026-04-01,SKU01024,WH004,receipt,192,PO_INIT_WH004,Initial stock-up
MOV00000097,2026-04-01,SKU01025,WH001,receipt,73,PO_INIT_WH001,Initial stock-up
MOV00000098,2026-04-01,SKU01025,WH002,receipt,98,PO_INIT_WH002,Initial stock-up
MOV00000099,2026-04-01,SKU01025,WH003,receipt,88,PO_INIT_WH003,Initial stock-up
MOV00000100,2026-04-01,SKU01025,WH004,receipt,61,PO_INIT_WH004,Initial stock-up
MOV00000101,2026-04-01,SKU01026,WH001,receipt,81,PO_INIT_WH001,Initial stock-up
MOV00000102,2026-04-01,SKU01026,WH002,receipt,65,PO_INIT_WH002,Initial stock-up
MOV00000103,2026-04-01,SKU01026,WH003,receipt,175,PO_INIT_WH003,Initial stock-up
MOV00000104,2026-04-01,SKU01026,WH004,receipt,168,PO_INIT_WH004,Initial stock-up
MOV00000105,2026-04-01,SKU01027,WH001,receipt,129,PO_INIT_WH001,Initial stock-up
MOV00000106,2026-04-01,SKU01027,WH002,receipt,142,PO_INIT_WH002,Initial stock-up
MOV00000107,2026-04-01,SKU01027,WH003,receipt,187,PO_INIT_WH003,Initial stock-up
MOV00000108,2026-04-01,SKU01027,WH004,receipt,151,PO_INIT_WH004,Initial stock-up
MOV00000109,2026-04-01,SKU01028,WH001,receipt,164,PO_INIT_WH001,Initial stock-up
MOV00000110,2026-04-01,SKU01028,WH002,receipt,153,PO_INIT_WH002,Initial stock-up
MOV00000111,2026-04-01,SKU01028,WH003,receipt,137,PO_INIT_WH003,Initial stock-up
MOV00000112,2026-04-01,SKU01028,WH004,receipt,183,PO_INIT_WH004,Initial stock-up
MOV00000113,2026-04-01,SKU01029,WH001,receipt,196,PO_INIT_WH001,Initial stock-up
MOV00000114,2026-04-01,SKU01029,WH002,receipt,148,PO_INIT_WH002,Initial stock-up
MOV00000115,2026-04-01,SKU01029,WH003,receipt,124,PO_INIT_WH003,Initial stock-up
MOV00000116,2026-04-01,SKU01029,WH004,receipt,178,PO_INIT_WH004,Initial stock-up
MOV00000117,2026-04-01,SKU01030,WH001,receipt,89,PO_INIT_WH001,Initial stock-up
MOV00000118,2026-04-01,SKU01030,WH002,receipt,102,PO_INIT_WH002,Initial stock-up
MOV00000119,2026-04-01,SKU01030,WH003,receipt,167,PO_INIT_WH003,Initial stock-up
MOV00000120,2026-04-01,SKU01030,WH004,receipt,134,PO_INIT_WH004,Initial stock-up
MOV00000121,2026-04-01,SKU01031,WH001,receipt,136,PO_INIT_WH001,Initial stock-up
MOV00000122,2026-04-01,SKU01031,WH002,receipt,129,PO_INIT_WH002,Initial stock-up
MOV00000123,2026-04-01,SKU01031,WH003,receipt,85,PO_INIT_WH003,Initial stock-up
MOV00000124,2026-04-01,SKU01031,WH004,receipt,181,PO_INIT_WH004,Initial stock-up
MOV00000125,2026-04-01,SKU01032,WH001,receipt,105,PO_INIT_WH001,Initial stock-up
MOV00000126,2026-04-01,SKU01032,WH002,receipt,125,PO_INIT_WH002,Initial stock-up
MOV00000127,2026-04-01,SKU01032,WH003,receipt,198,PO_INIT_WH003,Initial stock-up
MOV00000128,2026-04-01,SKU01032,WH004,receipt,81,PO_INIT_WH004,Initial stock-up
MOV00000129,2026-04-01,SKU01033,WH001,receipt,51,PO_INIT_WH001,Initial stock-up
MOV00000130,2026-04-01,SKU01033,WH002,receipt,98,PO_INIT_WH002,Initial stock-up
MOV00000131,2026-04-01,SKU01033,WH003,receipt,96,PO_INIT_WH003,Initial stock-up
MOV00000132,2026-04-01,SKU01033,WH004,receipt,138,PO_INIT_WH004,Initial stock-up
MOV00000133,2026-04-01,SKU01034,WH001,receipt,98,PO_INIT_WH001,Initial stock-up
MOV00000134,2026-04-01,SKU01034,WH002,receipt,114,PO_INIT_WH002,Initial stock-up
MOV00000135,2026-04-01,SKU01034,WH003,receipt,195,PO_INIT_WH003,Initial stock-up
MOV00000136,2026-04-01,SKU01034,WH004,receipt,136,PO_INIT_WH004,Initial stock-up
MOV00000137,2026-04-01,SKU01035,WH001,receipt,117,PO_INIT_WH001,Initial stock-up
MOV00000138,2026-04-01,SKU01035,WH002,receipt,98,PO_INIT_WH002,Initial stock-up
MOV00000139,2026-04-01,SKU01035,WH003,receipt,139,PO_INIT_WH003,Initial stock-up
MOV00000140,2026-04-01,SKU01035,WH004,receipt,198,PO_INIT_WH004,Initial stock-up
MOV00000141,2026-04-01,SKU01036,WH001,receipt,113,PO_INIT_WH001,Initial stock-up
MOV00000142,2026-04-01,SKU01036,WH002,receipt,131,PO_INIT_WH002,Initial stock-up
MOV00000143,2026-04-01,SKU01036,WH003,receipt,137,PO_INIT_WH003,Initial stock-up
MOV00000144,2026-04-01,SKU01036,WH004,receipt,77,PO_INIT_WH004,Initial stock-up
MOV00000145,2026-04-01,SKU01037,WH001,receipt,119,PO_INIT_WH001,Initial stock-up
MOV00000146,2026-04-01,SKU01037,WH002,receipt,116,PO_INIT_WH002,Initial stock-up
MOV00000147,2026-04-01,SKU01037,WH003,receipt,157,PO_INIT_WH003,Initial stock-up
MOV00000148,2026-04-01,SKU01037,WH004,receipt,127,PO_INIT_WH004,Initial stock-up
MOV00000149,2026-04-01,SKU01038,WH001,receipt,191,PO_INIT_WH001,Initial stock-up
MOV00000150,2026-04-01,SKU01038,WH002,receipt,134,PO_INIT_WH002,Initial stock-up
MOV00000151,2026-04-01,SKU01038,WH003,receipt,100,PO_INIT_WH003,Initial stock-up
MOV00000152,2026-04-01,SKU01038,WH004,receipt,99,PO_INIT_WH004,Initial stock-up
MOV00000153,2026-04-01,SKU01039,WH001,receipt,100,PO_INIT_WH001,Initial stock-up
MOV00000154,2026-04-01,SKU01039,WH002,receipt,99,PO_INIT_WH002,Initial stock-up
MOV00000155,2026-04-01,SKU01039,WH003,receipt,73,PO_INIT_WH003,Initial stock-up
MOV00000156,2026-04-01,SKU01039,WH004,receipt,76,PO_INIT_WH004,Initial stock-up
MOV00000157,2026-04-01,SKU01040,WH001,receipt,55,PO_INIT_WH001,Initial stock-up
MOV00000158,2026-04-01,SKU01040,WH002,receipt,81,PO_INIT_WH002,Initial stock-up
MOV00000159,2026-04-01,SKU01040,WH003,receipt,87,PO_INIT_WH003,Initial stock-up
MOV00000160,2026-04-01,SKU01040,WH004,receipt,76,PO_INIT_WH004,Initial stock-up
MOV00000161,2026-04-01,SKU01041,WH001,receipt,150,PO_INIT_WH001,Initial stock-up
MOV00000162,2026-04-01,SKU01041,WH002,receipt,62,PO_INIT_WH002,Initial stock-up
MOV00000163,2026-04-01,SKU01041,WH003,receipt,81,PO_INIT_WH003,Initial stock-up
MOV00000164,2026-04-01,SKU01041,WH004,receipt,76,PO_INIT_WH004,Initial stock-up
MOV00000165,2026-04-01,SKU01042,WH001,receipt,180,PO_INIT_WH001,Initial stock-up
MOV00000166,2026-04-01,SKU01042,WH002,receipt,103,PO_INIT_WH002,Initial stock-up
MOV00000167,2026-04-01,SKU01042,WH003,receipt,120,PO_INIT_WH003,Initial stock-up
MOV00000168,2026-04-01,SKU01042,WH004,receipt,144,PO_INIT_WH004,Initial stock-up
MOV00000169,2026-04-01,SKU01043,WH001,receipt,129,PO_INIT_WH001,Initial stock-up
MOV00000170,2026-04-01,SKU01043,WH002,receipt,156,PO_INIT_WH002,Initial stock-up
MOV00000171,2026-04-01,SKU01043,WH003,receipt,70,PO_INIT_WH003,Initial stock-up
MOV00000172,2026-04-01,SKU01043,WH004,receipt,135,PO_INIT_WH004,Initial stock-up
MOV00000173,2026-04-01,SKU01044,WH001,receipt,65,PO_INIT_WH001,Initial stock-up
MOV00000174,2026-04-01,SKU01044,WH002,receipt,76,PO_INIT_WH002,Initial stock-up
MOV00000175,2026-04-01,SKU01044,WH003,receipt,155,PO_INIT_WH003,Initial stock-up
MOV00000176,2026-04-01,SKU01044,WH004,receipt,143,PO_INIT_WH004,Initial stock-up
MOV00000177,2026-04-01,SKU01045,WH001,receipt,136,PO_INIT_WH001,Initial stock-up
MOV00000178,2026-04-01,SKU01045,WH002,receipt,167,PO_INIT_WH002,Initial stock-up
MOV00000179,2026-04-01,SKU01045,WH003,receipt,134,PO_INIT_WH003,Initial stock-up
MOV00000180,2026-04-01,SKU01045,WH004,receipt,79,PO_INIT_WH004,Initial stock-up
MOV00000181,2026-04-01,SKU01046,WH001,receipt,160,PO_INIT_WH001,Initial stock-up
MOV00000182,2026-04-01,SKU01046,WH002,receipt,76,PO_INIT_WH002,Initial stock-up
MOV00000183,2026-04-01,SKU01046,WH003,receipt,101,PO_INIT_WH003,Initial stock-up
MOV00000184,2026-04-01,SKU01046,WH004,receipt,140,PO_INIT_WH004,Initial stock-up
MOV00000185,2026-04-01,SKU01047,WH001,receipt,74,PO_INIT_WH001,Initial stock-up
MOV00000186,2026-04-01,SKU01047,WH002,receipt,101,PO_INIT_WH002,Initial stock-up
MOV00000187,2026-04-01,SKU01047,WH003,receipt,87,PO_INIT_WH003,Initial stock-up
MOV00000188,2026-04-01,SKU01047,WH004,receipt,84,PO_INIT_WH004,Initial stock-up
MOV00000189,2026-04-01,SKU01048,WH001,receipt,100,PO_INIT_WH001,Initial stock-up
MOV00000190,2026-04-01,SKU01048,WH002,receipt,69,PO_INIT_WH002,Initial stock-up
MOV00000191,2026-04-01,SKU01048,WH003,receipt,157,PO_INIT_WH003,Initial stock-up
MOV00000192,2026-04-01,SKU01048,WH004,receipt,199,PO_INIT_WH004,Initial stock-up
MOV00000193,2026-04-01,SKU01049,WH001,receipt,111,PO_INIT_WH001,Initial stock-up
MOV00000194,2026-04-01,SKU01049,WH002,receipt,104,PO_INIT_WH002,Initial stock-up
MOV00000195,2026-04-01,SKU01049,WH003,receipt,159,PO_INIT_WH003,Initial stock-up
MOV00000196,2026-04-01,SKU01049,WH004,receipt,176,PO_INIT_WH004,Initial stock-up
MOV00000197,2026-04-01,SKU01050,WH001,receipt,95,PO_INIT_WH001,Initial stock-up
MOV00000198,2026-04-01,SKU01050,WH002,receipt,54,PO_INIT_WH002,Initial stock-up
MOV00000199,2026-04-01,SKU01050,WH003,receipt,135,PO_INIT_WH003,Initial stock-up
MOV00000200,2026-04-01,SKU01050,WH004,receipt,154,PO_INIT_WH004,Initial stock-up
MOV00000201,2026-04-01,SKU01051,WH001,receipt,99,PO_INIT_WH001,Initial stock-up
MOV00000202,2026-04-01,SKU01051,WH002,receipt,87,PO_INIT_WH002,Initial stock-up
MOV00000203,2026-04-01,SKU01051,WH003,receipt,180,PO_INIT_WH003,Initial stock-up
MOV00000204,2026-04-01,SKU01051,WH004,receipt,80,PO_INIT_WH004,Initial stock-up
MOV00000205,2026-04-01,SKU01052,WH001,receipt,171,PO_INIT_WH001,Initial stock-up
MOV00000206,2026-04-01,SKU01052,WH002,receipt,83,PO_INIT_WH002,Initial stock-up
MOV00000207,2026-04-01,SKU01052,WH003,receipt,52,PO_INIT_WH003,Initial stock-up
MOV00000208,2026-04-01,SKU01052,WH004,receipt,74,PO_INIT_WH004,Initial stock-up
MOV00000209,2026-04-01,SKU01053,WH001,receipt,115,PO_INIT_WH001,Initial stock-up
MOV00000210,2026-04-01,SKU01053,WH002,receipt,71,PO_INIT_WH002,Initial stock-up
MOV00000211,2026-04-01,SKU01053,WH003,receipt,179,PO_INIT_WH003,Initial stock-up
MOV00000212,2026-04-01,SKU01053,WH004,receipt,119,PO_INIT_WH004,Initial stock-up
MOV00000213,2026-04-01,SKU01054,WH001,receipt,121,PO_INIT_WH001,Initial stock-up
MOV00000214,2026-04-01,SKU01054,WH002,receipt,85,PO_INIT_WH002,Initial stock-up
